label,awk,cat,cat -b,cat -n,cat -s,cd,chattr,chattr +a,chattr +i,chattr -i,crontab,crontab -e,crontab -l,crontab -r,curl,curl -X,curl -d,curl -o,curl -s,echo,echo -e,echo -n,free,free -g,free -h,free -m,grep,grep -E,grep -i,grep -r,grep -v,head,head -n,ifconfig,lockr,ls,ls -R,ls -a,ls -h,ls -l,lscpu,pkill,pkill -9,pkill -f,pkill -u,ps,ps -e,ps -f,ps -u,rm,rm -f,rm -r,sh,tftp,top,uname,uname -a,uname -n,uname -r,uname -s,w,wc,wc -c,wc -l,wc -w,wget,wget --no-check-certificate,wget -O,wget -q,which
awk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47835241458935046,0.2468781725133956,0.2521625018083618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.0,1.0000000000000002,0.5249396778509773,0.5371126076475878,0.5111695239223625,0.0,0.20008024682298287,0.2387252999457239,0.23363644857984164,0.2387252999457239,0.0,0.0,0.0,0.0,0.22794936170857308,0.11630978266722188,0.11630978266722188,0.2710881289323584,0.15324589898800792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10790734362053066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24207367698058727,0.12545161793588316,0.1274934738909158,0.0,0.2123591219040576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22794936170857308,0.11882041191612196,0.2710881289323584,0.15324589898800792,0.0
cat -b,0.0,0.5249396778509773,1.0,0.5555158211157769,0.3998963592812824,0.0,0.10503006031160063,0.1253163820483862,0.12264504205174848,0.1253163820483862,0.0,0.0,0.0,0.0,0.11965966450163422,0.06105561984424863,0.06105561984424863,0.14230491507097637,0.08044485284674828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09766716669175024,0.212966510111668,0.3006482659068558,0.0,0.0,0.0,0.0,0.0,0.0,0.056644846197916064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127074078010391,0.06585453190514638,0.06692638311239932,0.0,0.11147572904103238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23140194125477112,0.14284783273654086,0.27324854715043173,0.14284783273654086,0.11965966450163422,0.06237354875336947,0.14230491507097637,0.08044485284674828,0.0
cat -n,0.0,0.5371126076475878,0.5555158211157769,1.0,0.27455559594391604,0.0,0.10746562310986531,0.1282223683653003,0.1254890821382403,0.1282223683653003,0.0,0.0,0.0,0.0,0.12243447607889488,0.06247145066331575,0.06247145066331575,0.2967955361314638,0.2532462463567666,0.2503536992958599,0.12920780135956705,0.13197344306418346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05795839471634752,0.0,0.0,0.0,0.2566648492294768,0.0,0.0,0.0,0.0,0.0,0.13002082388588307,0.0673816456431511,0.06847835221959944,0.0,0.11406076172364034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12243447607889488,0.06381994128602878,0.2967955361314638,0.2532462463567666,0.0
cat -s,0.0,0.5111695239223625,0.3998963592812824,0.27455559594391604,1.0000000000000002,0.0,0.10227492451477291,0.12202909792147884,0.11942783219146916,0.12202909792147884,0.0,0.0,0.0,0.0,0.11652076670297767,0.059454016233517246,0.059454016233517246,0.13857198980735763,0.07833463322875445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09510517342688052,0.20737999846163782,0.2927616970788774,0.0,0.0,0.0,0.0,0.0,0.0,0.05515894546623343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12374068621630252,0.0641270438155755,0.06517077835202757,0.0,0.10855151124426803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2253318336121115,0.13910066572260138,0.26608072441995034,0.13910066572260138,0.11652076670297767,0.06073737339142305,0.13857198980735763,0.07833463322875445,0.0
cd,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40582768930538965,0.2321398118683642,0.21496096313219537,0.22487294248728953,0.19641581363486343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chattr,0.0,0.20008024682298287,0.10503006031160063,0.10746562310986531,0.10227492451477291,0.0,1.0000000000000002,0.6908958953748794,0.6761682292177515,0.6908958953748794,0.0,0.0,0.0,0.0,0.18012872767917718,0.09190959347924485,0.09190959347924485,0.214217576164759,0.12109702172385334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6715861569423172,0.0,0.0,0.0,0.0,0.0852698703252168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19128995629687418,0.0991335977197211,0.1007471004403578,0.0,0.1678091052895742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18012872767917718,0.09389352731827295,0.214217576164759,0.12109702172385334,0.0
chattr +a,0.0,0.2387252999457239,0.1253163820483862,0.1282223683653003,0.12202909792147884,0.0,0.6908958953748794,1.0,0.5135254131407665,0.7403369971063593,0.0,0.0,0.0,0.0,0.2149201894082915,0.1096617263304072,0.1096617263304072,0.25559322289732295,0.14448664119820553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4006507621346917,0.0,0.0,0.0,0.0,0.10173955546811177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2282371844231959,0.11828103086696469,0.12020617803698003,0.0,0.20022105944981028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2149201894082915,0.11202885256258084,0.25559322289732295,0.14448664119820553,0.0
chattr +i,0.0,0.23363644857984164,0.12264504205174848,0.1254890821382403,0.11942783219146916,0.0,0.6761682292177515,0.5135254131407665,1.0000000000000002,0.5135254131407665,0.0,0.0,0.0,0.0,0.21033878601420333,0.10732409296708806,0.10732409296708806,0.25014480196436356,0.1414066532724164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3921101835760118,0.0,0.0,0.0,0.0,0.09957079716756356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22337190576206883,0.11575966180544435,0.11764377106365108,0.0,0.19595299396998386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21033878601420333,0.10964075972319212,0.25014480196436356,0.1414066532724164,0.0
chattr -i,0.0,0.2387252999457239,0.1253163820483862,0.1282223683653003,0.12202909792147884,0.0,0.6908958953748794,0.7403369971063593,0.5135254131407665,1.0,0.0,0.0,0.0,0.0,0.2149201894082915,0.1096617263304072,0.1096617263304072,0.25559322289732295,0.14448664119820553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4006507621346917,0.0,0.0,0.0,0.0,0.10173955546811177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2282371844231959,0.11828103086696469,0.12020617803698003,0.0,0.20022105944981028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2149201894082915,0.11202885256258084,0.25559322289732295,0.14448664119820553,0.0
crontab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.6022178404014441,0.6276990395421878,0.6276990395421878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crontab -e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6022178404014441,1.0000000000000002,0.746605137408155,0.746605137408155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1635375141764862,0.0,0.0,0.0,0.1635375141764862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2271019346685393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crontab -l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6276990395421878,0.746605137408155,1.0,0.7781956897124801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175208685222889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17045715634938396,0.0,0.2527776768957438,0.0,0.17045715634938396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23671113126537155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crontab -r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6276990395421878,0.746605137408155,0.7781956897124801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17045715634938396,0.0,0.0,0.0,0.17045715634938396,0.0,0.2139700637334624,0.21745264973770326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23671113126537155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curl,0.0,0.22794936170857308,0.11965966450163422,0.12243447607889488,0.11652076670297767,0.0,0.18012872767917718,0.2149201894082915,0.21033878601420333,0.2149201894082915,0.0,0.0,0.0,0.0,1.0,0.5102439497765328,0.5102439497765328,0.7166515129985545,0.6722804479002162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09714708384382724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21793467436948674,0.11294188548296588,0.11478013249197513,0.0,0.1911831829830152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5212579277498944,0.7166515129985545,0.6722804479002162,0.0
curl -X,0.0,0.11630978266722188,0.06105561984424863,0.06247145066331575,0.059454016233517246,0.0,0.09190959347924485,0.1096617263304072,0.10732409296708806,0.1096617263304072,0.0,0.0,0.0,0.0,0.5102439497765328,1.0,0.26034888828355696,0.36566709860571067,0.343027031094143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049568711769746414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11119984904354943,0.05762791374403737,0.05856586815857915,0.0,0.0975500624161033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5102439497765328,0.2659687039074367,0.36566709860571067,0.343027031094143,0.0
curl -d,0.0,0.11630978266722188,0.06105561984424863,0.06247145066331575,0.059454016233517246,0.0,0.09190959347924485,0.1096617263304072,0.10732409296708806,0.1096617263304072,0.0,0.0,0.0,0.0,0.5102439497765328,0.26034888828355696,1.0,0.36566709860571067,0.343027031094143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049568711769746414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11119984904354943,0.05762791374403737,0.05856586815857915,0.0,0.0975500624161033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5102439497765328,0.2659687039074367,0.36566709860571067,0.343027031094143,0.0
curl -o,0.0,0.2710881289323584,0.14230491507097637,0.2967955361314638,0.13857198980735763,0.0,0.214217576164759,0.25559322289732295,0.25014480196436356,0.25559322289732295,0.0,0.0,0.0,0.0,0.7166515129985545,0.36566709860571067,0.36566709860571067,1.0,0.6521591565673754,0.24952241049313192,0.12877877235461366,0.13153523086366367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11553189266714058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591781905484713,0.13431581551350497,0.1365019455313855,0.0,0.22736405563819168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7166515129985545,0.37356028258445306,1.0,0.6521591565673754,0.0
curl -s,0.0,0.15324589898800792,0.08044485284674828,0.2532462463567666,0.07833463322875445,0.0,0.12109702172385334,0.14448664119820553,0.1414066532724164,0.14448664119820553,0.0,0.0,0.0,0.0,0.6722804479002162,0.343027031094143,0.343027031094143,0.6521591565673754,1.0000000000000002,0.28210963175902054,0.14559707072218578,0.14871351823249274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06531008503872805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14651322049810633,0.07592862135918325,0.07716443888175122,0.0,0.12852871588681047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6722804479002162,0.3504315131392376,0.6521591565673754,1.0000000000000002,0.0
echo,0.47835241458935046,0.0,0.0,0.2503536992958599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24952241049313192,0.28210963175902054,1.0,0.516101027158674,0.5271479648008778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24952241049313192,0.28210963175902054,0.0
echo -e,0.2468781725133956,0.0,0.0,0.12920780135956705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12877877235461366,0.14559707072218578,0.516101027158674,1.0,0.2720616060983375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12877877235461366,0.14559707072218578,0.0
echo -n,0.2521625018083618,0.0,0.0,0.13197344306418346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13153523086366367,0.14871351823249274,0.5271479648008778,0.2720616060983375,1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21276402886636325,0.13153523086366367,0.14871351823249274,0.0
free,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.8283571399373897,0.5328327076140134,0.8283571399373897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30200047481055137,0.0,0.0,0.0,0.0,0.0,0.0,0.30200047481055137,0.0,0.0,0.0,0.0,0.0,0.0,0.18754877788983482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5940361651298709,0.5940361651298709,0.30200047481055137,0.23758338812119625,0.32299220846201937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
free -g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8283571399373897,1.0,0.4413757777442393,0.7439313376670039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15187970059956085,0.0,0.0,0.0,0.0,0.0,0.0,0.15187970059956085,0.0,0.0,0.0,0.0,0.0,0.0,0.09432055446797079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29874799025343746,0.29874799025343746,0.15187970059956085,0.1194835666331735,0.16243669798193483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
free -h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5328327076140134,0.4413757777442393,1.0,0.4413757777442393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16091573069402365,0.0,0.0,0.0,0.0,0.7044311328798216,0.0,0.16091573069402365,0.0,0.0,0.0,0.0,0.0,0.0,0.09993212313273984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3165218982867941,0.3165218982867941,0.16091573069402365,0.12659219997672796,0.17210081297304755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
free -m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8283571399373897,0.7439313376670039,0.4413757777442393,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15187970059956085,0.0,0.0,0.0,0.0,0.0,0.0,0.15187970059956085,0.0,0.0,0.0,0.0,0.0,0.0,0.09432055446797079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29874799025343746,0.29874799025343746,0.15187970059956085,0.1194835666331735,0.16243669798193483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.5381585845842819,0.6048706643571501,0.5581548183280048,0.6609284630741625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grep -E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5381585845842819,1.0,0.3255163405869981,0.30037580701029604,0.3556843261994561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1916469702091473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grep -i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6048706643571501,0.3255163405869981,1.0,0.3376114757762046,0.3997762385522187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grep -r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5581548183280048,0.30037580701029604,0.3376114757762046,1.0,0.36890040623496656,0.0,0.0,0.0,0.0,0.0,0.4385010759209248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20351747271983434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grep -v,0.0,0.0,0.09766716669175024,0.0,0.09510517342688052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609284630741625,0.3556843261994561,0.3997762385522187,0.36890040623496656,1.0000000000000002,0.15395048001107353,0.21733438194854215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13957303344014477,0.15278720542719046,0.0,0.0,0.0,0.15278720542719043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167277192611114,0.10326267922031906,0.1975275125374404,0.10326267922031906,0.0,0.0,0.0,0.0,0.0
head,0.0,0.0,0.212966510111668,0.0,0.20737999846163782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15395048001107353,1.0000000000000002,0.9428105142507727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3647534902297455,0.2251677115579681,0.4307153204198635,0.2251677115579681,0.0,0.0,0.0,0.0,0.0
head -n,0.0,0.0,0.3006482659068558,0.0,0.2927616970788774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21733438194854215,0.9428105142507727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5149284000735385,0.31787289927708334,0.6080477823290067,0.31787289927708334,0.0,0.0,0.0,0.0,0.0
